Ray endpoint 1: lat. (deg. N), long. (deg. E), height (km)
  34.00   3.00   111.00
Ray endpoint 2: lat. (deg. N), long. (deg. E), height (km)
  45.00   6.00  1000.00
zenith angle (deg.) and azimuth (N over E to S, deg.) of ray at endpoint 1 
  62.51   9.12
S10.7, R12, month, UT:  244.9, 200.0, 12, 12.0

Electron contents along ray.
  (h1-h2) means from point in height h1 to point in height h2 (heights in km)
 s: coordinate along ray
 r: radius (distance from center of Earth)
 
      s       r    height  lat   long   el.density
     km      km      km   deg N  deg E    m^-3
      .0  6482.2   111.0  34.00   3.00  .102130E+12
    21.6  6492.2   121.0  34.17   3.04  .157541E+12
    43.1  6502.2   131.0  34.33   3.08  .177399E+12
    64.4  6512.2   141.0  34.49   3.12  .196136E+12
    85.7  6522.2   151.0  34.66   3.15  .216023E+12
   106.8  6532.2   161.0  34.82   3.19  .239026E+12
   127.8  6542.2   171.0  34.97   3.23  .266115E+12
   148.8  6552.2   181.0  35.13   3.27  .297690E+12
   169.6  6562.2   191.0  35.29   3.31  .334945E+12
   190.3  6572.2   201.0  35.44   3.34  .382388E+12
   210.9  6582.2   211.0  35.60   3.38  .443237E+12
   231.4  6592.2   221.0  35.75   3.42  .520657E+12
   251.8  6602.2   231.0  35.90   3.45  .617818E+12
   272.1  6612.2   241.0  36.05   3.49  .737127E+12
   292.3  6622.2   251.0  36.20   3.53  .879119E+12
   312.4  6632.2   261.0  36.35   3.56  .104109E+13
   332.4  6642.2   271.0  36.50   3.60  .121573E+13
   352.3  6652.2   281.0  36.64   3.64  .139017E+13
   372.2  6662.2   291.0  36.79   3.67  .154635E+13
   391.9  6672.2   301.0  36.93   3.71  .166279E+13
   411.6  6682.2   311.0  37.07   3.75  .171995E+13
   431.2  6692.2   321.0  37.21   3.78  .172692E+13
   450.7  6702.2   331.0  37.35   3.82  .169839E+13
   470.1  6712.2   341.0  37.49   3.85  .164490E+13
   489.5  6722.2   351.0  37.63   3.89  .157328E+13
   508.7  6732.2   361.0  37.77   3.92  .148979E+13
   527.9  6742.2   371.0  37.91   3.96  .139973E+13
   547.0  6752.2   381.0  38.04   3.99  .130729E+13
   566.1  6762.2   391.0  38.18   4.03  .121561E+13
   585.0  6772.2   401.0  38.31   4.06  .112686E+13
   603.9  6782.2   411.0  38.44   4.10  .104247E+13
   622.8  6792.2   421.0  38.58   4.13  .963266E+12
   641.5  6802.2   431.0  38.71   4.17  .889652E+12
   660.2  6812.2   441.0  38.84   4.20  .821720E+12
   678.8  6822.2   451.0  38.97   4.24  .759357E+12
   697.4  6832.2   461.0  39.09   4.27  .702316E+12
   715.8  6842.2   471.0  39.22   4.30  .650273E+12
   734.3  6852.2   481.0  39.35   4.34  .602866E+12
   752.6  6862.2   491.0  39.47   4.37  .559719E+12
   770.9  6872.2   501.0  39.60   4.41  .520462E+12
   789.1  6882.2   511.0  39.72   4.44  .484738E+12
